age,female,sex,race,subgroup_id,riskfactor,N,Mean,se,LowerCLMean,UpperCLMean,sigma_u_wgt,var,riagendr,meandaych,dayse,effect1,effect2,effect3,effect1se,effect2se,effect3se,Mean_alt,Mean_alt2,Mean_alt3,Mean_alt_se1,Mean_alt_se2,Mean_alt_se3,overweight_rate,overweight_rate_se,hbp,hbp_se,highSBP_RATE,highSBP_RATE_se
4,1,1,3,31,rfg,371,202.624864,3.098641,6.92712,7.36740,49.304140213,rfg,2,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,199.83377705,200.63123059,198.63759675,3.1050805692,3.1050805692,3.1050805692,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
4,1,1,3,31,sodium,371,3784.326063,47.285639,3689.08790,3879.56423,711.85770668,sod,2,-194.5483988,10.615136887,-68.09193958,-48.6370997,-97.27419941,3.7152979105,2.6537842218,5.3075684436,3716.2341238,3735.6889637,3687.0518639,47.582579704,47.582579704,47.582579704,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
4,1,1,3,31,wg,371,23.789629,1.582364,0.72672,0.95156,15.270412092,wg,2,7.974535359,0.399735629,2.7910873756,1.9936338397,3.9872676795,0.1399074702,0.0999339073,0.1998678145,26.580716403,25.783262867,27.776896707,1.5949362606,1.5949362606,1.5949362606,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
4,1,1,3,31,GLrice,371,7.981393,0.122055,6.92712,7.36740,1.942090083,rfg,2,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,7.8714524781,7.9028641728,7.8243349359,0.2341894193,0.2341894193,0.2341894193,88.0370,1.9339,47.4461,3.0841,78.7983,2.4758
4,1,1,4,32,GLwheat,183,36.819623,1.292251,5.73350,6.60575,8.2766644533,rfg,2,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,36.422537217,36.535990302,36.25235759,1.3003162122,1.3003162122,1.3003162122,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
4,1,1,4,32,addsug,183,52.758948,3.518262,10.87448,14.24883,28.472108654,add,2,-2.304777382,0.187656049,-0.806672084,-0.576194345,-1.152388691,0.0656796172,0.0469140123,0.0938280245,51.952276109,52.182753848,51.606559502,3.5195126459,3.5195126459,3.5195126459,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
4,1,1,4,32,rfg,183,174.908842,6.138740,5.73350,6.60575,39.31767017,rfg,2,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,173.02251567,173.56146599,172.21409019,6.1404433208,6.1404433208,6.1404433208,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
4,1,1,4,32,sodium,183,4019.452545,69.940486,3878.58517,4160.31992,726.93837013,sod,2,-122.7955562,8.0648229946,-42.97844467,-30.69888905,-61.39777811,2.8226880481,2.0162057486,4.0324114973,3976.4741003,3988.7536559,3958.0547668,70.056633921,70.056633921,70.056633921,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
4,1,1,4,32,wg,183,40.042860,2.666431,1.22301,1.60188,22.78405777,wg,2,5.3895032283,0.2892047643,1.8863261299,1.3473758071,2.6947516141,0.1012216675,0.0723011911,0.1446023822,41.92918635,41.390236027,42.737611834,2.6703490883,2.6703490883,2.6703490883,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
4,1,1,4,32,GLrice,183,6.889659,0.241805,5.73350,6.60575,1.548723028,rfg,2,-5.389503228,0.2892047643,-1.88632613,-1.347375807,-2.694751614,0.1012216675,0.0723011911,0.1446023822,6.8153568922,6.8365861454,6.7835130124,0.2817436785,0.2817436785,0.2817436785,63.3911,5.7564,37.3208,4.6432,79.9742,4.2494
